trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
113,200,"[5, 3, 4, 3, 2]",17,CNN,b,0.0007404103370578767,0.10056621178504309,6,8,0.7014270032930845
114,163,"[5, 2, 5, 3, 2]",22,CNN,b,0.0005193969592735911,0.296623406183621,8,8,0.677277716794731
115,169,"[6, 3, 4, 4, 2]",19,CNN,b,0.0005949772249053233,0.2679533113841914,9,8,0.677277716794731
116,152,"[3, 3, 4, 3, 3]",16,CNN,b,0.0004213359494781486,0.33278143437669305,46,8,0.6937431394072447
117,159,"[4, 4, 4, 2, 2]",13,CNN,b,2.8138855950790453e-06,0.31160770686755807,6,8,0.6399560922063666
118,182,"[5, 2, 5, 2]",11,CNN,b,6.196337232634551e-05,0.12187662658189358,7,9,0.7069154774972558
119,169,"[6, 2, 5, 3, 2]",20,CNN,b,0.0008233116608941567,0.07113019175332386,5,7,0.6410537870472008
120,181,"[5, 2]",25,CNN,b,0.0003408114990739379,0.14300233216287458,10,7,0.6871569703622393
121,147,"[5, 3, 3, 4, 3]",50,CNN,b,0.0006807352395203426,0.3278374814118191,8,8,0.6948408342480791
122,189,"[5, 3, 4, 2, 3]",15,CNN,b,0.000569808746107308,0.3659243869467596,6,8,0.6992316136114161
123,156,"[4, 4, 3, 4, 2]",72,CNN,b,0.0009934329964763225,0.34576481919323143,50,8,0.7113062568605928
124,141,"[5, 3, 2, 3, 3]",59,CNN,b,0.0005054066849837301,0.14928167065742748,29,9,0.6575192096597146
125,68,"[6, 2]",77,CNN,b,0.0007239008710870434,0.299032696522069,7,7,0.6739846322722283
126,173,"[5, 8, 4, 3, 2]",14,CNN,b,0.0008580666667400008,0.26203094402986077,5,7,0.6212952799121844
127,26,"[6, 3, 4, 4, 2]",22,CNN,b,0.00046891276555878134,0.31631308030207844,11,8,0.6959385290889133
128,73,"[5, 2, 3, 5]",55,CNN,b,0.0005996854372414172,0.27785075771060325,8,9,0.6948408342480791
129,53,"[4, 2]",18,CNN,b,0.0006695984351478072,0.09074776775301455,9,7,0.6948408342480791
130,132,"[5, 3, 3, 2, 4]",80,CNN,b,0.0004112305448482137,0.17143165563857987,12,8,0.686059275521405
131,178,[6],53,CNN,b,0.0007500423203931854,0.3518027233765091,7,10,0.6915477497255763
132,79,"[5, 2]",42,CNN,b,0.00036583542034837244,0.19166191239599964,7,7,0.6915477497255763
133,160,"[5, 2]",47,CNN,b,0.00047515246318481305,0.18215906360898104,22,7,0.703622392974753
134,114,"[5, 2]",57,CNN,b,0.0006042409092871043,0.16060029314563853,6,7,0.6520307354555434
135,166,"[5, 7]",45,CNN,b,0.000853316673012714,0.21121644360088632,5,7,0.6750823271130626
136,182,[6],36,CNN,b,0.0007134563848409938,0.3836413666070413,9,10,0.7102085620197585
137,150,"[5, 2]",40,CNN,b,0.000534102725850329,0.12918134059284614,38,6,0.6706915477497256
138,144,"[5, 2, 6]",51,CNN,b,0.00043047220730156214,0.1845944716469739,10,7,0.6805708013172338
139,163,"[8, 2, 2, 3, 3]",100,CNN,b,0.00010972712711931399,0.33576412622269736,25,7,0.6794731064763996
140,101,[6],30,CNN,b,0.0009874863671086734,0.35125510799481585,42,10,0.672886937431394
141,174,[6],47,CNN,b,0.0007713267075654042,0.32819037287802044,7,10,0.6937431394072447
142,187,"[6, 4, 3, 7, 4]",63,CNN,b,0.0006397103311952845,0.31002502854494385,8,10,0.6684961580680571
143,194,"[5, 3, 4]",55,CNN,b,0.0005042620255679217,0.28491420892685126,7,8,0.6871569703622393
144,57,"[7, 2]",34,CNN,b,0.000821774834731149,0.1995300972563221,35,7,0.7178924259055982
145,52,"[7, 2]",27,CNN,b,0.0008131628421631023,0.36330537229206905,36,7,0.6992316136114161
146,58,[7],32,CNN,b,0.000698962234631417,0.19786706761785827,37,8,0.681668496158068
147,47,"[7, 2]",10,CNN,b,0.0005812995471576458,0.16693738402273733,41,7,0.6959385290889133
148,155,"[7, 2]",60,CNN,b,0.0009050995550036553,0.24046664344517457,34,7,0.6597145993413831
149,160,"[4, 2]",49,CNN,b,0.00044158943868118474,0.1524512351915802,17,7,0.686059275521405
150,128,"[7, 3, 4, 5]",37,CNN,b,0.000762857009920753,0.2228888388907732,6,8,0.7113062568605928
151,169,"[5, 2]",33,CNN,b,0.0005645926440618845,0.1380841717497834,5,7,0.6838638858397366
152,44,"[5, 2, 5, 2, 5]",35,CNN,b,0.0006542766930785906,0.17604291177887832,35,7,0.703622392974753
153,178,"[6, 2, 4, 4, 3]",16,CNN,b,0.000883154243081694,0.10711194364378772,6,9,0.703622392974753
154,85,"[5, 2]",42,CNN,b,0.0004967140525159368,0.3233729466803906,8,7,0.6849615806805708
155,169,"[6, 2, 3, 3, 2]",34,CNN,b,0.0007074445636566128,0.34186186768427795,38,7,0.6794731064763996
156,140,"[4, 2]",39,CNN,b,0.000553425880643169,0.11903123385113262,27,8,0.6761800219538968
157,146,"[5, 4, 2, 2, 3]",12,CNN,b,0.00037725592897127036,0.20361466764958652,20,5,0.6871569703622393
158,64,"[7, 3, 3]",53,CNN,b,0.0009824673814734957,0.25557166271427384,9,7,0.6125137211855104
159,135,"[5, 2]",90,CNN,b,2.3152798682373738e-05,0.2924765832091282,15,6,0.6937431394072447
